@RELATION fri_c2_100_5 
 @ATTRIBUTE oz1 REAL 
 @ATTRIBUTE oz2 REAL 
 @ATTRIBUTE oz3 REAL 
 @ATTRIBUTE oz4 REAL 
 @ATTRIBUTE oz5 REAL 
 @ATTRIBUTE oz6 REAL 
@DATA  
-1.3224819e+000,-1.6024945e+000,-9.4509407e-001,1.5275516e+000,-6.9472104e-001,3.6747027e-001
-6.3263041e-001,-7.7788953e-001,-7.0649992e-001,-1.2638798e+000,-1.7607397e+000,-6.7176382e-003
-3.8978299e-001,-6.5346816e-001,-3.2148843e-001,1.6046467e+000,-1.7075792e+000,9.9859485e-001
-5.0290855e-001,-1.0004683e+000,-7.7362690e-001,-6.9027768e-001,-1.4404072e+000,2.8364624e-001
1.1791480e+000,9.7342995e-001,-1.1604880e+000,-1.3405880e+000,1.6018729e+000,-1.2421276e+000
4.7075441e-001,-3.5943538e-001,-4.3589329e-001,-1.6131256e+000,1.6905363e+000,4.3140141e-001
1.3032939e-001,1.3546108e-001,4.2239389e-001,-5.6177280e-003,2.2494027e-001,2.3055630e-001
-1.3680716e+000,-9.4752093e-001,-4.2576422e-001,-5.3055229e-001,6.8688567e-001,1.8245505e-002
-1.3413187e+000,-1.1046929e+000,-1.1111843e+000,1.0688978e-001,9.1145923e-001,6.6209601e-001
-5.4937651e-001,-5.7808423e-002,-3.4944859e-001,1.7692030e-001,-1.3406799e+000,7.5690175e-001
-1.2897099e+000,-1.3114022e+000,-9.8242712e-001,-6.2021019e-001,1.0437655e+000,4.4189602e-001
3.2225707e-001,-2.4458505e-002,1.6980056e-001,-1.5424874e-001,7.8947749e-001,3.4215779e-001
-1.1066649e+000,-1.2231883e+000,-1.0096449e+000,-9.4540097e-001,-1.0169286e-001,-7.3768785e-002
-1.4221386e+000,-1.4265161e+000,-6.0451131e-001,-7.9520303e-001,8.0476128e-002,-4.4259367e-001
-7.9060863e-001,-1.1479057e+000,-1.0009176e+000,-1.6237805e-002,-1.1479584e+000,5.6295297e-001
-6.0027796e-001,-1.1338894e+000,-4.8846054e-001,1.6288671e+000,-6.9326293e-001,7.7193190e-001
-4.5318894e-001,3.1538330e-001,-1.1587925e+000,-1.5426337e+000,-1.1656650e-001,7.1665810e-001
-1.2048186e+000,-1.1132120e+000,-4.9419715e-001,7.8528469e-002,-1.1869240e+000,-1.3084177e-001
-1.3330580e+000,-1.0476676e+000,-4.8537034e-004,-6.9269160e-001,1.6332062e+000,-1.3024264e-002
2.5485164e-001,8.9555879e-002,8.2995262e-001,8.4809649e-001,-6.9423566e-001,4.1962771e-001
-5.5568011e-001,-2.2495230e-001,3.4816754e-001,1.6272522e+000,-7.3142155e-001,1.1907994e+000
1.0357116e+000,1.2172281e+000,6.2637413e-001,2.1230200e-001,-6.2611128e-001,-1.6708902e+000
7.7565890e-001,5.0725591e-001,9.8479552e-001,1.0158364e+000,8.4128042e-002,-1.1706325e+000
1.1757708e+000,1.1743476e+000,1.4506329e+000,3.6382742e-001,-1.3752302e+000,-1.7308499e+000
-7.2367221e-001,-4.6099049e-001,-1.1840668e-001,1.7148950e+000,-1.5749753e+000,1.0188981e+000
1.7096105e+000,1.3230158e+000,2.3076974e+000,1.2233111e+000,-3.2866768e-001,6.1721297e-001
-1.8565467e-001,-6.2502275e-001,-4.9075875e-001,-5.2073714e-001,9.2292096e-001,9.5729062e-001
-1.6060447e+000,-9.8101935e-001,-7.5592744e-001,4.9599044e-001,1.1985477e+000,4.1624773e-001
1.9289096e+000,1.2375666e+000,1.2629826e+000,5.1002544e-001,-1.1767286e+000,1.6489796e-001
1.4483986e+000,1.5493076e+000,-3.7629772e-001,-1.4090056e+000,-9.3073914e-001,-6.1222387e-001
1.3143214e+000,1.0726748e+000,-5.7083030e-001,-1.7581585e+000,9.8293901e-001,-1.8063679e+000
1.1383161e+000,8.9476348e-001,1.1918121e+000,2.1991929e-001,1.6443462e+000,-1.7940660e+000
7.8375218e-001,1.1079141e+000,1.4738549e+000,2.9033471e-001,1.2472290e+000,-1.7679160e+000
-1.4824575e-001,4.9464713e-001,-9.4004598e-002,-6.5501136e-001,-9.1381992e-001,-4.1674067e-001
1.1755237e+000,1.7758045e+000,1.5352452e+000,3.1567364e-001,1.9331427e-001,-1.0817051e-001
1.6279347e+000,1.6906477e+000,7.9530260e-003,-1.1419051e+000,-8.3596628e-001,-1.2775171e-001
-2.5525595e-001,-9.1435445e-001,-4.1724564e-001,7.3973399e-001,6.9452349e-003,1.1276424e+000
8.0608226e-001,1.2472924e-001,1.5438419e+000,1.6945970e+000,-5.7446745e-001,-2.2811143e-003
-1.8408727e+000,-1.3683499e+000,-5.6455703e-003,4.3206334e-001,8.3312316e-002,-1.7498654e-001
-7.0679316e-001,-1.5132181e+000,-8.3114084e-001,2.9081672e-001,1.2326470e-001,2.7626072e-001
1.0344288e+000,1.2674075e+000,1.6602327e-001,-7.1118838e-001,-6.5279378e-001,-1.9564007e+000
3.4551263e-001,8.3811441e-001,4.1745184e-001,2.4216276e-002,-1.7197785e+000,-1.6022411e+000
1.6612939e+000,1.4389950e+000,4.6646398e-001,-4.9142470e-001,-3.5242829e-001,2.1045568e-002
1.1899231e+000,1.4892741e+000,2.0980600e+000,1.3417094e+000,-2.1521855e-001,-2.2333197e-001
9.8925907e-001,6.0574296e-001,2.5003642e-002,6.2496980e-002,-1.0535662e-001,-2.1764334e+000
-4.4802995e-002,2.4479279e-001,-1.7188371e+000,-1.7097920e+000,1.4365144e+000,1.1054406e+000
-1.7161512e+000,-1.1901069e+000,-3.3386362e-001,8.1216271e-001,-2.0486755e-001,9.3318585e-002
-8.6726996e-001,-6.9409476e-001,-6.8354095e-001,-8.1008686e-001,-1.1011295e+000,7.2214725e-002
5.5947182e-001,1.3179770e+000,1.0093360e+000,9.1485985e-001,-7.1645406e-001,-2.0873878e+000
