@RELATION fri_c4_100_25 
 @ATTRIBUTE oz1 REAL 
 @ATTRIBUTE oz2 REAL 
 @ATTRIBUTE oz3 REAL 
 @ATTRIBUTE oz4 REAL 
 @ATTRIBUTE oz5 REAL 
 @ATTRIBUTE oz6 REAL 
 @ATTRIBUTE oz7 REAL 
 @ATTRIBUTE oz8 REAL 
 @ATTRIBUTE oz9 REAL 
 @ATTRIBUTE oz10 REAL 
 @ATTRIBUTE oz11 REAL 
 @ATTRIBUTE oz12 REAL 
 @ATTRIBUTE oz13 REAL 
 @ATTRIBUTE oz14 REAL 
 @ATTRIBUTE oz15 REAL 
 @ATTRIBUTE oz16 REAL 
 @ATTRIBUTE oz17 REAL 
 @ATTRIBUTE oz18 REAL 
 @ATTRIBUTE oz19 REAL 
 @ATTRIBUTE oz20 REAL 
 @ATTRIBUTE oz21 REAL 
 @ATTRIBUTE oz22 REAL 
 @ATTRIBUTE oz23 REAL 
 @ATTRIBUTE oz24 REAL 
 @ATTRIBUTE oz25 REAL 
 @ATTRIBUTE oz26 REAL 
@DATA  
-8.6883823e-001,-6.1862769e-001,-1.2872656e+000,-1.1213163e+000,-6.7273879e-001,-5.2864082e-001,-9.8487956e-001,1.0037340e-001,-9.5506651e-001,1.4403948e+000,-5.7397816e-001,-8.2193371e-001,-9.0248642e-002,-3.5252274e-001,-1.3536048e-001,9.7749240e-001,-8.0630009e-002,1.0140003e-001,-1.6997266e-001,-6.7756139e-001,4.1657254e-001,-3.4799332e-001,1.5117084e+000,1.4728728e+000,8.4013022e-001,4.1085606e-001
-6.1652907e-001,5.1045963e-002,-1.3462037e-002,-7.9143747e-001,-3.2389413e-001,-8.3101644e-001,2.1824947e-001,-5.5782556e-001,-2.7093676e-001,-1.3614562e+000,8.7841272e-001,6.2906615e-001,3.2488577e-001,-8.3283991e-001,-1.4813076e+000,-3.5047240e-002,8.8907573e-001,-1.1697580e+000,2.7707865e-001,1.2697259e+000,9.4520845e-001,9.7550939e-001,-5.4990466e-001,-1.5010517e+000,4.6803176e-001,2.4704123e-001
3.3366034e-002,-3.1735029e-001,8.3762550e-001,1.6925643e+000,3.7407776e-001,9.7077029e-001,1.1880043e+000,1.5787389e+000,1.3338951e+000,-1.0243047e+000,-1.5818177e+000,-1.0704406e+000,1.4791808e+000,-1.5180102e+000,1.6021379e+000,-4.3682675e-001,1.1952203e+000,-1.0663516e+000,-1.4700448e+000,-9.2730421e-001,1.2724518e+000,-6.9606759e-001,1.1788446e+000,9.9275673e-002,6.6223319e-001,1.5299147e+000
-1.8080848e+000,-1.6857374e+000,-1.6416411e+000,4.6774889e-001,-7.9825319e-001,-8.3841300e-001,-7.5543683e-001,-1.6743314e-001,-1.2421506e+000,-1.4412769e+000,-9.1547348e-001,9.0728131e-001,-1.4352620e+000,2.2081823e-001,7.4188298e-001,3.7139557e-001,-5.4639494e-002,5.7287091e-001,1.5358939e-001,4.4843646e-001,9.6519422e-001,-1.2423917e+000,9.2017240e-001,-9.4996602e-001,8.5808762e-001,3.7094718e-001
-4.4597269e-001,-1.0110590e+000,1.8556389e-001,3.0882659e-001,-6.0178414e-002,-4.5114074e-003,2.1175397e-002,-4.8040497e-001,-6.3850009e-001,-9.2173387e-001,1.0745492e+000,-2.6842716e-001,-1.3869579e+000,7.8805910e-003,-4.7329300e-001,1.6490923e+000,-3.9321164e-001,4.5474314e-001,-7.3382924e-001,1.3478225e-001,7.0885520e-001,1.4463598e+000,-6.9066741e-001,-9.2190386e-001,-4.5864492e-002,6.0943359e-001
-3.7641455e-001,-1.0358310e+000,-5.8840485e-001,-3.0254243e-001,-7.4933825e-001,1.9846803e-001,7.4746771e-001,9.1778537e-001,-1.2931771e+000,-1.3136110e+000,1.6603725e-001,-2.5450468e-001,-7.1755918e-001,-3.9806058e-002,-7.4986122e-001,1.6118332e+000,-1.2748993e+000,1.0798529e+000,2.9551977e-001,-1.5125343e+000,-3.9203237e-001,-3.6515073e-001,1.7181531e+000,-2.0583334e-002,8.1609630e-001,8.0982931e-001
1.3795197e+000,7.9436851e-001,1.2896393e+000,1.2345709e+000,2.1920742e+000,1.9607016e+000,8.8743752e-001,1.5425363e+000,-1.1628691e+000,1.3724739e+000,-6.0773640e-001,6.8923461e-001,5.6395205e-001,1.0207293e+000,6.3370214e-002,-1.1166790e+000,-1.2520512e-001,3.4490244e-001,-1.2959535e+000,9.0410696e-001,1.7151197e+000,1.0320709e+000,1.8774637e-001,2.9274449e-001,1.1465685e+000,-7.0494765e-001
1.3388961e-001,-1.1205190e-001,-6.8680059e-001,-1.0890199e+000,-4.2720867e-001,-1.1192710e+000,-1.5705159e+000,-1.2105155e+000,-1.1088150e+000,2.3484943e-001,-1.0501358e+000,3.8782745e-001,1.5660929e+000,-1.2998146e+000,-1.3531952e+000,3.8209796e-001,-5.4423501e-001,1.1436388e+000,5.8725066e-001,1.2867628e+000,-3.2974596e-001,-1.2519853e+000,-1.2197781e+000,-4.3094489e-001,-8.0346709e-001,6.8066637e-001
6.9716940e-001,9.6260090e-001,-2.4939996e-001,-2.9460747e-001,4.4323408e-001,1.9348725e+000,1.1059622e+000,6.0826113e-001,8.9873023e-002,3.8557642e-001,-4.8701093e-001,1.4322104e+000,-1.7035071e-001,2.9353817e-001,-1.4979517e+000,-1.5778307e+000,-3.4322932e-001,1.1785944e+000,-3.5567435e-001,2.1201034e-001,-8.3654333e-001,-6.7360708e-001,4.3899089e-001,6.4946673e-002,1.1777569e+000,-1.7432629e+000
1.2479262e+000,1.0091681e+000,-2.3794227e-001,-7.2674238e-001,-3.6334363e-001,-4.1014193e-001,-6.7007629e-001,-9.7682027e-001,-5.2768376e-002,7.2064245e-001,1.2431157e+000,3.3252362e-001,-7.8239277e-001,-2.7480181e-001,1.1145026e+000,1.3671833e+000,1.1956405e+000,6.8556377e-001,-1.4422671e+000,1.3412000e+000,-1.0718868e+000,-1.5606050e+000,-8.1675250e-001,5.4679566e-001,9.4833943e-001,-1.7205583e+000
