@RELATION fri_c1_100_5 
 @ATTRIBUTE oz1 REAL 
 @ATTRIBUTE oz2 REAL 
 @ATTRIBUTE oz3 REAL 
 @ATTRIBUTE oz4 REAL 
 @ATTRIBUTE oz5 REAL 
 @ATTRIBUTE oz6 REAL 
@DATA  
-3.9494734e-001,-2.8164749e-001,-8.3249188e-002,1.0569687e+000,-1.3816421e+000,6.6074151e-001
5.9706498e-001,1.3739580e+000,-8.9314289e-001,1.5191678e+000,8.1399153e-001,-1.2060991e+000
-1.6562943e+000,-1.4267973e+000,-9.3291611e-001,-1.3607620e+000,-7.5909904e-001,-1.3820104e+000
-6.0426764e-001,-1.7432876e-001,-7.7567526e-001,1.7343741e-001,4.1659099e-001,1.1300137e+000
-1.3904172e+000,-1.6150265e+000,1.2683544e-001,-1.2082399e+000,6.9826450e-001,-8.7177479e-001
2.3138011e+000,1.9955919e+000,1.1776976e+000,-1.7634781e+000,1.2380341e+000,3.9893851e-002
1.9228046e+000,1.2362931e+000,1.7959766e+000,2.7089088e-002,-1.2409361e+000,-4.6952414e-001
4.5671418e-001,-3.6399892e-001,1.3209790e+000,1.4210595e+000,6.7844809e-001,1.8242819e+000
-3.0837312e-001,-5.6502265e-001,1.1021451e-001,-5.8120614e-001,-1.3851139e+000,-9.0797331e-002
9.7332725e-001,1.1736301e+000,-6.5002307e-001,8.4842587e-002,2.2236515e-001,-1.9341107e+000
1.3492929e-001,6.0671252e-001,-7.6787230e-001,-3.8685812e-001,1.7155336e-001,4.8035249e-002
2.0699693e-001,-1.4286878e-001,8.1151767e-001,5.5091806e-001,-6.4237684e-001,7.2540567e-001
-1.3234284e+000,-7.0713211e-001,-1.2386844e+000,-8.2924894e-001,1.3758631e+000,2.3403049e-001
2.9083400e-001,7.8754313e-001,-8.8148997e-001,1.6256742e+000,1.2259840e+000,4.8330608e-001
-2.2812129e-001,-2.4727729e-001,-5.5230411e-001,8.0176879e-001,5.7267700e-001,1.2083007e+000
1.5290690e+000,1.8854917e+000,2.2299820e-001,5.9698910e-001,-3.3807446e-001,1.1119283e-002
7.0159412e-001,6.0836009e-001,-8.0557190e-002,-9.9376635e-001,-1.3708132e+000,-1.8074066e+000
-1.4766590e-001,-8.6933517e-001,1.5889735e+000,4.7453551e-001,1.1581007e+000,1.1072542e+000
-3.4622060e-002,-4.9129189e-002,4.1455888e-001,1.1549463e+000,6.2049827e-002,1.0328859e+000
-1.2074088e+000,-6.4045046e-001,-1.4789142e+000,-1.1992677e+000,-4.0341221e-001,-9.6923850e-002
-5.3601792e-001,-8.8951759e-001,4.6831763e-001,1.6278105e+000,-1.0326448e+000,6.4611172e-001
-3.2587852e-001,-5.2203148e-001,7.4367576e-001,-1.5823360e+000,5.9444580e-001,1.5525384e-001
-1.9207242e+000,-1.5287771e+000,-1.0617031e+000,2.4792325e-001,1.0641882e+000,1.9133721e-001
1.6243400e+000,1.8105393e+000,2.6741772e-001,-1.4282041e+000,-1.4249692e+000,-7.8477676e-001
1.4730298e+000,1.5895732e+000,-3.7904462e-001,-4.5995202e-001,-4.1868289e-001,-9.8260419e-001
-4.1092304e-001,-5.7051328e-001,4.3400201e-001,-1.3505253e+000,-1.6904700e+000,-4.4774597e-001
9.7649837e-001,1.3131361e+000,-3.6656036e-001,6.4158984e-001,-1.4678219e+000,-2.2042485e+000
6.6436108e-001,2.4650234e-001,9.3870006e-001,2.0928701e-001,-1.3868923e+000,-3.1364943e-001
-1.1910672e+000,-5.3787954e-001,-1.2595973e+000,-7.1650730e-001,-7.5665182e-001,1.6071122e-001
-1.2016970e-001,-8.0429892e-001,1.7956468e+000,6.9150580e-001,1.4445544e+000,1.3576146e+000
-1.1936425e+000,-1.4671165e+000,2.4591465e-001,1.6876827e+000,-1.4726112e+000,-1.7319338e-002
-9.1715704e-003,-1.0512180e-001,5.3520321e-001,1.1035054e+000,-1.3480183e-001,1.0693346e+000
-9.1209114e-001,-1.4321214e-001,-1.5053936e+000,6.6482256e-001,7.5287272e-001,1.8351000e+000
9.7106895e-001,1.8426911e+000,-1.1095665e+000,-5.1372661e-001,6.2034967e-001,-1.3439296e+000
1.6371267e+000,1.7002628e+000,-1.5998507e-001,1.5806382e+000,8.9736803e-001,4.9700019e-001
-3.6895148e-001,-3.3504800e-001,-3.5333937e-003,1.2514073e-003,1.2812787e+000,9.0493361e-001
1.5676127e+000,1.2077740e+000,1.2802027e+000,-8.8462980e-001,8.6462694e-001,-1.8229035e+000
1.3839593e+000,4.1810067e-001,2.0011834e+000,1.2271122e+000,-2.8009949e-001,-4.1912861e-001
2.1617349e+000,2.0325690e+000,1.3889270e+000,3.2006411e-002,-1.5405664e-001,7.8498809e-001
-1.9630148e-002,-5.5917906e-001,2.0347163e-001,-4.0769563e-001,-9.2399340e-001,2.9629162e-001
8.3380051e-001,5.0881406e-001,8.3613565e-001,-8.4596434e-001,1.3033986e+000,-1.1379959e+000
1.0621585e+000,1.6770932e+000,-1.2513284e+000,5.9946861e-001,1.4535888e+000,-4.9610475e-001
7.5004143e-002,-8.0322263e-001,1.3597955e+000,-1.7749056e-001,9.2493338e-001,8.9661074e-001
-6.2003987e-001,-4.6477353e-001,-3.3472555e-001,1.6201908e+000,8.3769312e-001,1.4066496e+000
-9.9966664e-001,-1.2372044e+000,6.4255671e-002,-1.0610828e+000,2.7203040e-002,-8.8255130e-001
-3.9847227e-002,1.8850060e-001,-3.6366724e-001,4.8792080e-001,9.8472851e-001,8.8679251e-001
-7.8025642e-001,-7.0127037e-001,-5.1049043e-001,4.6652864e-001,-2.9682310e-001,5.2344427e-001
-2.6474222e-001,4.4370406e-002,-3.8888529e-001,1.4146241e-002,4.7213795e-001,1.0959786e+000
-1.0837628e+000,-9.5850432e-001,-1.0583232e+000,-3.6234194e-001,4.3150332e-001,-5.4694943e-003
9.3652245e-001,5.0867287e-001,6.3133769e-001,1.7289246e+000,3.4173536e-001,-3.7359443e-001
1.2836889e+000,8.2566452e-001,9.0615571e-001,4.1082998e-001,-2.1235839e-001,-1.9160612e+000
