@relation qsfsr12

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric

@data
0.367421,0.350392,0.230768,0.579298,0.616548,0,0,0.896103,0.443349,0.382716
0.242571,0.385825,0.225461,0.675849,0.550344,0.327104,1,0.883116,0.595508,0.001454
0.638522,0.5,0.023859,0.758609,0.31311,0.140188,0.467905,0.896103,0.515596,0.106755
0.347207,0.507873,0.175065,0.786194,0.224834,0.140188,0.501029,0.870129,0.453201,0.027597
0.892985,0.5,0.40318,0.462057,0.73103,0.140188,0.008291,0.844153,0.552815,1
0.411416,0.322833,0,0.96897,0.44552,0.140188,0.596265,0.805193,0.604812,0.050109
0.222358,0.51181,0.177718,0.758609,0.531033,0.140188,0.49896,0.831166,0.556646,0.023966
0.420929,0.47244,0.026534,0.858609,0.455174,0,0.082805,0.935063,0,0.215685
0.50773,0.358267,0.230768,0.399987,0.344831,0.140188,0.391301,0.81818,0.563215,0.026872
0.073726,0.271651,0.835537,0,0.070366,0.308411,0.445129,0.727269,0.98522,0.013799
0.127234,0.464566,0.575593,0.203438,0.771028,0.308411,0.184263,0.688309,0.98522,0.084967
0,1,0.435011,0.944809,0.68827,0.327104,0.68322,1,0.673777,0
0.532699,0.003935,0.442968,0.131023,0.511724,0.308411,0.209107,0.701296,0.703334,0.724026
0.52913,0.437006,0.761253,0.024127,0.023465,0.682227,0.556929,0.415588,0.897637,0.033407
0.398338,0.507873,0.73475,0.96897,0.936551,0.271029,0.347822,0.805193,0.767917,0.092231
1,0.47244,0.018571,1,0.867587,0,0.22153,0.987011,0.332235,0.251998
0.854921,0.515747,0.018571,0.834472,1,0.140188,0.314697,0.935063,0.677061,0.201163
0.500595,0,1,0.282746,0.137929,1,0.774327,0,1,0.032681
0.702731,0.133862,0.708215,0.568953,0,0.682227,0.774327,0.376625,0.800758,0.026872
0.189067,0.433069,0.496018,0.203438,0.40828,0.233646,0.310555,0.844153,0.994524,0.065359
