@RELATION fri_c2_100_10 
 @ATTRIBUTE oz1 REAL 
 @ATTRIBUTE oz2 REAL 
 @ATTRIBUTE oz3 REAL 
 @ATTRIBUTE oz4 REAL 
 @ATTRIBUTE oz5 REAL 
 @ATTRIBUTE oz6 REAL 
 @ATTRIBUTE oz7 REAL 
 @ATTRIBUTE oz8 REAL 
 @ATTRIBUTE oz9 REAL 
 @ATTRIBUTE oz10 REAL 
 @ATTRIBUTE oz11 REAL 
@DATA  
8.2612400e-001,7.3389302e-001,-6.5444186e-002,-3.9081484e-003,-5.5902117e-001,1.4760036e+000,1.0889164e+000,-6.1813947e-001,9.3986304e-001,8.8379675e-001,-2.1218834e+000
2.1882910e-001,2.9682777e-001,-4.8445737e-001,-8.3868572e-001,2.0054241e-001,-3.1522100e-001,1.5882482e+000,-3.6162811e-001,-6.7633532e-001,-1.3857506e+000,-4.0699124e-001
-3.5535197e-001,-3.3180076e-001,-5.1346955e-002,-3.3829943e-002,-1.4140746e-001,1.5251971e+000,1.0726191e+000,-1.0252921e+000,1.2235609e+000,-1.0416552e+000,8.9053581e-001
4.8617446e-005,3.2340617e-001,-7.0997537e-002,7.5971549e-001,-5.2119676e-001,-6.3500173e-001,-1.4571560e+000,4.9945841e-001,-8.9429808e-001,-1.1089837e+000,4.8860295e-001
2.8596560e-001,3.2735508e-001,3.7471743e-001,3.3037549e-001,-8.6562017e-002,5.7140835e-001,-9.3617077e-001,8.3115850e-002,1.0849944e+000,-1.0145601e+000,-4.5965079e-001
-1.5553056e+000,-1.3793702e+000,-1.4735181e+000,6.6286070e-001,-1.2992380e+000,-9.6006357e-001,-7.5905046e-001,1.0523727e+000,-1.5588329e+000,3.7006420e-001,4.2222258e-001
8.9467286e-001,1.2177762e+000,2.5882086e+000,1.8707715e+000,1.2024703e+000,-1.4394671e+000,4.1337558e-001,-1.0731575e+000,1.6344995e-001,1.4664079e+000,-8.8327130e-001
-1.5239983e+000,-1.4259153e+000,-3.7681408e-001,8.5779869e-001,-1.1066185e+000,9.9045159e-001,7.6426756e-001,-1.5277841e+000,3.6530459e-001,1.4362799e-001,-1.3267927e-001
1.9814594e+000,1.8100283e+000,-1.6597068e+000,-1.5737781e+000,-6.0579852e-001,-5.0528455e-001,-1.0518054e+000,-1.1091245e+000,6.2586457e-001,-4.6524370e-001,1.2781666e+000
-1.4223616e+000,-1.1889501e+000,-1.0949689e+000,-9.6466858e-002,-1.3944877e+000,-6.3235489e-001,-1.1274681e+000,4.2458147e-001,1.6650800e+000,-7.7019034e-001,9.5310740e-002
9.7054902e-001,1.5385174e+000,1.1077295e+000,7.3134537e-001,-5.3082177e-002,1.4987248e+000,-1.5837631e+000,-1.0040509e+000,-3.5365751e-001,-1.7255096e+000,-1.0944342e+000
-9.4056650e-001,-1.5128123e+000,-1.5876129e+000,6.0271806e-001,-6.7787584e-001,7.2580443e-001,1.2283391e+000,-6.9924360e-001,-9.8885055e-001,-1.2817017e+000,1.0375762e+000
8.7187908e-001,2.2678425e-002,-7.2325162e-001,-1.2702256e+000,-5.3247730e-001,1.0687940e+000,9.9036146e-001,1.2397036e+000,9.1877997e-001,4.0969140e-001,-8.8978716e-001
-3.3460924e-001,-6.7065257e-002,9.3734858e-002,-5.5133944e-001,-1.1705347e+000,1.4029181e+000,1.1717448e+000,8.0371732e-001,-8.4576333e-001,-1.6387664e+000,9.6875003e-002
4.9518908e-001,7.9718575e-001,-2.2241419e-001,6.4315740e-002,-1.2631942e+000,-7.4098532e-001,1.3564516e+000,1.4967554e+000,1.5071125e+000,7.1984017e-001,-1.9620090e+000
5.3912625e-002,3.7243465e-001,5.7179766e-001,-2.0195555e-001,1.6260966e+000,1.0419002e+000,2.1215248e-001,1.7905945e-001,8.9943348e-001,8.7402335e-001,-4.4332297e-002
4.7843127e-002,-5.0612478e-001,-3.9959626e-002,1.4385328e+000,2.5100200e-002,2.1493093e-001,7.7268574e-001,-1.7309889e-001,6.7365120e-001,-1.3040636e+000,1.6150783e+000
