@RELATION fri_c1_1000_10 
 @ATTRIBUTE oz1 REAL 
 @ATTRIBUTE oz2 REAL 
 @ATTRIBUTE oz3 REAL 
 @ATTRIBUTE oz4 REAL 
 @ATTRIBUTE oz5 REAL 
 @ATTRIBUTE oz6 REAL 
 @ATTRIBUTE oz7 REAL 
 @ATTRIBUTE oz8 REAL 
 @ATTRIBUTE oz9 REAL 
 @ATTRIBUTE oz10 REAL 
 @ATTRIBUTE oz11 REAL 
@DATA  
1.2533138e+000,1.4221959e+000,5.1152047e-002,-5.5330696e-001,6.4102181e-001,9.7667996e-001,6.3681768e-001,1.3264938e+000,-1.9131547e-001,1.2666322e+000,2.7007892e-002
-2.6543587e-001,1.5823482e-001,-1.1010551e+000,1.0384270e+000,-1.0040410e-001,7.5584175e-001,1.2966842e+000,1.1709676e+000,1.3148476e+000,-2.7780787e-001,1.0805168e+000
5.5334046e-001,1.4926929e+000,-1.1062387e+000,1.0399035e+000,1.3142573e+000,-2.5222175e-001,1.6542123e+000,-3.9591255e-001,7.4218964e-001,-7.5597034e-001,-5.7739538e-001
2.5710565e-001,1.0167326e-001,6.7465516e-001,2.6311677e-001,1.4832576e+000,1.2610186e+000,-8.1346041e-001,-2.0474445e-001,-1.2741574e+000,1.1028481e+000,2.9189346e-001
-9.1717867e-001,-1.2417532e+000,5.8948615e-001,-1.0314193e+000,-8.2712979e-001,5.7255073e-001,-5.4851169e-001,-2.0158775e-001,-1.0693009e+000,4.9918478e-001,-5.6528493e-001
5.4844393e-001,1.6023893e+000,-1.5492172e+000,1.3526376e+000,-1.7384067e+000,-1.3829396e+000,-1.3185812e+000,-1.6236458e+000,-1.3370043e+000,-4.5025309e-001,-6.6475441e-001
-2.4752888e-002,-2.9440203e-001,3.6635552e-001,1.0446281e+000,9.7656592e-001,1.7657139e+000,5.7513129e-001,-1.3630285e+000,-1.0359362e+000,-3.2048958e-002,1.2369523e+000
-2.8626600e-001,3.7012662e-001,-5.6779667e-001,1.7651678e-001,9.7458643e-001,-1.5231849e+000,-2.5353011e-001,1.0111828e+000,-9.3060151e-001,-7.8459238e-001,2.9924193e-001
-3.0403225e-001,-2.2257708e-002,-1.6477729e-001,-1.5911588e-001,1.7109228e+000,1.5531812e+000,-4.8331658e-001,-7.1626059e-001,-1.5097890e+000,1.0537045e+000,8.7848984e-001
-5.4372588e-001,-1.1029818e+000,9.6709826e-001,1.1433725e+000,1.4012619e+000,4.6555809e-002,1.3648308e+000,-1.0474565e+000,-6.1610234e-001,-1.3351582e+000,1.4276990e+000
