@RELATION fri_c3_1000_10 
 @ATTRIBUTE oz1 REAL 
 @ATTRIBUTE oz2 REAL 
 @ATTRIBUTE oz3 REAL 
 @ATTRIBUTE oz4 REAL 
 @ATTRIBUTE oz5 REAL 
 @ATTRIBUTE oz6 REAL 
 @ATTRIBUTE oz7 REAL 
 @ATTRIBUTE oz8 REAL 
 @ATTRIBUTE oz9 REAL 
 @ATTRIBUTE oz10 REAL 
 @ATTRIBUTE oz11 REAL 
@DATA  
6.8822243e-001,-4.9179653e-002,-8.5521585e-004,-6.7235821e-001,-6.0100773e-002,-1.1013617e+000,2.6682958e-001,4.7368751e-001,-1.6387702e+000,6.0716792e-001,-6.7028683e-001
-4.8358740e-002,-8.0437455e-001,-4.3590758e-001,1.4948615e+000,-4.3850963e-001,1.2903002e+000,7.5528188e-001,-1.1270900e+000,-1.2231256e+000,1.2485278e+000,1.2724698e+000
1.6128054e+000,1.1870924e+000,1.0672655e+000,2.6922829e-001,1.3206612e+000,1.1857866e+000,1.4892589e+000,2.2325213e-002,-3.8591525e-001,-5.5071599e-001,6.0552684e-001
9.3386580e-002,7.5627975e-001,-2.7323254e-001,-1.7198141e+000,-4.1763991e-001,-3.9959825e-001,-6.8660539e-001,-8.9076884e-001,-1.3731130e+000,-6.7365929e-001,-1.6480912e+000
-4.6793065e-001,-8.2614282e-001,-2.0440214e-001,-3.9011143e-002,-2.4380056e-001,-7.2218911e-001,-2.1126303e-002,6.7322400e-001,1.6091044e+000,-8.6750217e-001,5.1787986e-001
-6.2047755e-001,-1.3889325e+000,-9.9309375e-001,9.1005863e-001,-1.1888817e+000,-7.0490354e-001,8.3479435e-001,-2.0834342e-001,-1.2858912e+000,1.0631310e+000,2.9313134e-001
1.6769144e+000,1.4038668e+000,1.8951664e+000,8.0731915e-001,2.5534499e+000,-1.1854638e+000,3.5197589e-001,-2.7329179e-001,3.9595149e-001,4.2017196e-001,2.1732861e+000
8.3167697e-001,4.1194093e-001,2.2016826e-001,-1.3110773e+000,2.8516280e-001,-6.4582785e-001,-1.3801546e-001,-1.1687678e+000,-1.0110281e+000,3.4333119e-001,-1.7527407e+000
-4.9058865e-001,3.5298417e-001,1.4546603e-001,-6.3796951e-002,-4.2498108e-001,-5.4739296e-001,-5.8045745e-001,-9.0966179e-001,-1.6434825e+000,2.3875902e-002,2.7307608e-001
-1.0866588e+000,-1.6103718e+000,-9.1504933e-001,-1.7209843e+000,-7.5930656e-001,-1.6782114e+000,-2.6331277e-001,6.4968412e-001,-1.3052663e+000,3.5334528e-001,-6.4792941e-001
