@RELATION fri_c3_500_25 
 @ATTRIBUTE oz1 REAL 
 @ATTRIBUTE oz2 REAL 
 @ATTRIBUTE oz3 REAL 
 @ATTRIBUTE oz4 REAL 
 @ATTRIBUTE oz5 REAL 
 @ATTRIBUTE oz6 REAL 
 @ATTRIBUTE oz7 REAL 
 @ATTRIBUTE oz8 REAL 
 @ATTRIBUTE oz9 REAL 
 @ATTRIBUTE oz10 REAL 
 @ATTRIBUTE oz11 REAL 
 @ATTRIBUTE oz12 REAL 
 @ATTRIBUTE oz13 REAL 
 @ATTRIBUTE oz14 REAL 
 @ATTRIBUTE oz15 REAL 
 @ATTRIBUTE oz16 REAL 
 @ATTRIBUTE oz17 REAL 
 @ATTRIBUTE oz18 REAL 
 @ATTRIBUTE oz19 REAL 
 @ATTRIBUTE oz20 REAL 
 @ATTRIBUTE oz21 REAL 
 @ATTRIBUTE oz22 REAL 
 @ATTRIBUTE oz23 REAL 
 @ATTRIBUTE oz24 REAL 
 @ATTRIBUTE oz25 REAL 
 @ATTRIBUTE oz26 REAL 
@DATA  
5.2163057e-001,5.0030141e-001,-7.5224402e-001,-1.2521653e+000,-4.1035354e-001,-1.0716450e+000,-1.5588666e+000,8.6130985e-001,1.5382580e+000,-1.2650268e+000,-1.5582792e+000,7.7074180e-001,1.1378071e+000,1.4514334e+000,1.0659653e+000,2.8023652e-001,-1.6975125e+000,9.7182869e-001,2.5639908e-001,-9.2264792e-001,-1.3474455e+000,2.5622663e-002,1.4766775e+000,1.0418958e+000,4.8711014e-001,-1.6860249e+000
1.1077270e+000,1.4323431e+000,-7.7082646e-001,-1.2532955e+000,-5.2726009e-001,3.8371913e-001,-8.1650522e-001,-4.5582617e-001,-1.8787535e-001,-4.5979686e-002,1.9935252e-001,1.4411977e+000,1.3048468e-001,-1.5030286e+000,-3.6341584e-001,7.0030211e-001,4.2447938e-001,2.4379417e-001,-9.4402460e-001,7.3813276e-001,-7.6395627e-002,1.3318704e+000,4.1980927e-001,1.1416156e+000,-4.3004335e-002,-8.4282589e-001
5.3863098e-001,3.0799117e-001,-1.1229806e+000,-1.4533917e+000,-8.8762526e-001,-1.1211948e-003,6.0948475e-001,6.3692071e-002,-9.6413392e-001,-2.9320326e-001,3.5766921e-001,-1.5109061e-001,1.9691957e-001,-1.0089588e-001,1.0925273e+000,1.5178410e+000,3.6765563e-002,-1.6720599e+000,1.2352040e+000,-4.3332883e-001,6.8710406e-003,-7.2434656e-001,1.0936680e+000,-8.2977791e-001,1.2965666e+000,-1.1598836e+000
8.0023572e-001,4.7175054e-001,-6.3768718e-001,-8.1646108e-002,-4.8007554e-001,-1.3913683e+000,1.3685514e+000,3.1581089e-001,1.2613834e+000,-1.6688317e+000,1.4604866e+000,1.7131726e+000,6.6023400e-001,-1.0909744e-001,5.0626824e-002,-1.3123628e+000,-9.4858463e-001,-3.7381608e-001,1.3291179e+000,-6.9003023e-001,1.1955323e+000,1.7519572e-001,4.1775550e-001,-8.0343247e-001,-1.6643639e+000,-1.3424596e+000
2.1128949e+000,1.7469707e+000,2.8675478e+000,1.6837795e+000,4.3150866e+000,-1.0188501e+000,7.6287322e-001,4.5867692e-001,-8.6236195e-002,-4.8263279e-001,6.8271035e-001,1.5493211e+000,-9.2420794e-001,1.6893762e+000,-1.6288370e+000,-1.2142257e-001,1.0010844e+000,-6.3173738e-001,3.8231523e-001,1.3231408e+000,8.7670779e-001,-1.1106329e+000,9.4688686e-001,-8.1913072e-001,7.9880878e-001,2.7197997e+000
-1.5467747e+000,-7.1532959e-001,-4.8787271e-002,1.6986661e+000,-7.5452326e-001,1.6349606e+000,7.2631045e-001,9.2675035e-002,1.7130247e+000,1.1505687e+000,-1.3056702e+000,1.6392290e+000,-1.3589539e+000,9.0116717e-001,-7.0537535e-001,-2.1503675e-001,-1.9666021e-001,-4.6453360e-002,-5.3126973e-002,7.4044977e-002,6.6038480e-002,1.2355926e+000,1.3435024e+000,1.5238907e+000,-1.4009322e+000,6.3600849e-001
-7.5415094e-001,-1.1058654e+000,-7.1902397e-001,-1.2562854e+000,-6.5483708e-001,1.3885630e+000,1.7278870e+000,6.8760612e-001,8.8284496e-001,1.1342275e+000,7.0799477e-001,-4.0767491e-001,-7.1655628e-001,-1.6271817e+000,3.2562356e-001,-8.7618365e-001,1.5823037e+000,1.6873030e+000,8.9408733e-001,1.0444774e+000,7.3875504e-001,1.8163011e+000,9.8228412e-001,-6.6634529e-001,-1.1184956e+000,-1.8414700e-001
-2.1441296e+000,-1.5958210e+000,-6.0062985e-001,-2.1882046e-001,-7.7738420e-001,1.2013647e+000,1.0245062e+000,6.4536542e-001,1.5649265e+000,6.2175859e-001,2.3644766e-001,1.7291043e+000,-3.0442150e-002,2.7993557e-001,7.0333217e-001,-1.6396895e+000,-1.6681998e+000,9.1687089e-001,1.2226259e+000,6.2236459e-002,-3.1872132e-001,1.3710959e+000,-1.6765850e+000,5.8490953e-001,1.1713405e+000,-8.1501566e-001
-3.2090873e-001,1.2386736e-001,7.0725848e-002,-7.1153830e-001,-3.0886748e-001,1.2886653e+000,-1.2815001e+000,-3.9735732e-001,-1.0667378e+000,8.2154046e-001,-2.6230365e-001,7.7924687e-001,1.5913684e-001,-1.7117744e+000,-1.4796204e+000,-1.0691893e+000,-1.1525030e+000,5.4645467e-001,1.0225479e+000,-2.6756384e-001,1.4851733e+000,-8.2145725e-002,-3.5793591e-001,1.6803943e+000,-3.4673496e-001,2.6994286e-002
-8.9076933e-001,-3.0883018e-003,-1.2674404e+000,-1.4563882e+000,-1.0561847e+000,-7.4909019e-001,1.4135871e-001,8.7813217e-002,-4.5643032e-002,9.7725499e-001,-1.0274505e+000,1.3165666e+000,5.1557351e-001,-6.7521396e-001,-1.7095608e+000,1.5074135e+000,-1.4694136e+000,1.3705766e+000,6.6484621e-001,1.7104402e+000,1.7501103e+000,1.3876300e+000,-2.4478312e-001,1.6373837e+000,7.6250907e-001,7.0967415e-001
