@RELATION fri_c0_1000_5 
 @ATTRIBUTE oz1 REAL 
 @ATTRIBUTE oz2 REAL 
 @ATTRIBUTE oz3 REAL 
 @ATTRIBUTE oz4 REAL 
 @ATTRIBUTE oz5 REAL 
 @ATTRIBUTE oz6 REAL 
@DATA  
-9.8563565e-001,5.8884182e-002,2.4569786e-001,-1.2073457e+000,1.1359881e+000,-9.8798700e-001
-1.6883205e+000,-1.2283675e+000,3.3455854e-001,1.0736577e+000,4.0952554e-001,-5.5983007e-001
1.3275324e+000,-1.3912010e+000,-4.9545740e-001,-4.4160040e-001,6.5807149e-002,-1.0354858e+000
1.2722980e+000,-1.1703036e+000,-1.9211178e-001,5.7813678e-001,-1.3831245e+000,-7.6104878e-001
-3.4787724e-001,1.3156201e+000,1.4948019e+000,-1.0102393e+000,-1.2681050e+000,1.4213217e-001
-1.3081093e+000,-1.3874258e+000,-9.7174859e-001,-4.8382137e-001,4.5139367e-002,-1.2865622e+000
-7.4870691e-004,6.8476107e-001,-9.2049740e-002,9.5891572e-002,1.3989486e+000,6.9129035e-001
1.9658030e-001,6.1876425e-001,1.4875395e+000,-1.2980511e+000,-2.3618252e-001,1.6733317e-002
1.6133017e+000,5.4160748e-001,-4.0264167e-002,1.2934772e+000,-8.0721951e-002,9.6540094e-001
9.8080490e-001,-3.4946507e-001,-1.0762730e+000,-2.7185178e-002,-6.6868038e-001,5.9970081e-001
-1.1277364e+000,4.1576396e-002,1.7586819e-001,-1.5118133e-001,-6.9282624e-001,-1.1605759e+000
3.3121455e-001,8.6962896e-001,-1.4196434e+000,2.9612247e-001,-7.8262465e-001,9.8848991e-001
7.6623686e-001,6.6630402e-003,-7.9052028e-001,1.4378202e+000,-1.6641273e+000,1.2080941e+000
-3.1951759e-001,1.5707117e+000,4.6987534e-001,-5.2446138e-001,-1.0871135e+000,7.3193298e-002
