@RELATION fri_c0_100_10 
 @ATTRIBUTE oz1 REAL 
 @ATTRIBUTE oz2 REAL 
 @ATTRIBUTE oz3 REAL 
 @ATTRIBUTE oz4 REAL 
 @ATTRIBUTE oz5 REAL 
 @ATTRIBUTE oz6 REAL 
 @ATTRIBUTE oz7 REAL 
 @ATTRIBUTE oz8 REAL 
 @ATTRIBUTE oz9 REAL 
 @ATTRIBUTE oz10 REAL 
 @ATTRIBUTE oz11 REAL 
@DATA  
3.1696161e-001,2.3901883e-001,9.4623980e-001,-1.3107601e+000,-3.2071332e-002,9.9124092e-001,4.8110777e-002,1.5038771e+000,1.2821975e+000,5.4356902e-001,-1.1116494e-001
-8.4398154e-001,1.5842802e+000,3.4905314e-001,9.2134025e-001,-1.0785533e+000,-1.0451903e+000,-7.0895670e-001,6.0833669e-001,1.1163003e+000,-9.3844113e-001,1.2322983e-001
1.0327193e+000,-7.0118445e-001,-1.3033745e+000,-7.1549504e-001,1.1064902e+000,1.6820762e+000,-1.3714731e+000,-9.6708349e-001,-5.0551247e-002,1.6175096e+000,5.7176356e-001
-5.1134889e-001,5.6239184e-001,9.7855236e-001,1.5363803e+000,8.5332424e-001,7.6069028e-001,1.7716200e+000,4.6458989e-001,1.3120449e+000,1.5824002e+000,1.6618705e+000
-1.4225069e+000,1.1736394e+000,1.1617192e-001,-1.4607210e+000,-3.5558824e-002,-1.8369823e-001,5.9750606e-001,-1.5117294e+000,-1.6930201e+000,9.7853060e-001,-1.4287562e+000
2.8638280e-001,4.6094808e-001,-1.8204095e-001,-1.1116926e+000,5.6695061e-001,-6.3230938e-002,1.3648666e+000,6.5536935e-001,1.7003231e+000,3.2474550e-001,5.8182426e-002
4.3297602e-001,1.3580084e+000,3.9411632e-001,-1.5614532e+000,1.0621828e+000,-1.5686499e+000,-2.4611245e-002,-4.1600268e-001,-1.3706336e+000,5.3813050e-001,1.6481719e-001
1.5755852e+000,-1.2045846e+000,8.0591446e-001,1.1356366e+000,9.3290514e-001,-1.4056515e+000,1.7513236e+000,-1.8624558e+000,-1.2808292e+000,-5.7632258e-001,7.6837898e-001
-3.6037382e-001,1.0281363e+000,-3.5526894e-001,7.3314409e-001,7.9555399e-001,1.1946685e+000,-1.2472488e+000,-3.9155444e-001,-3.5011209e-001,-1.4240040e+000,1.1678134e+000
1.6513642e+000,-9.0127843e-001,-1.2570293e+000,-3.8499652e-001,3.3950568e-001,-4.5382978e-001,-7.0324253e-001,4.5800708e-001,3.2142125e-001,4.0072226e-001,4.1040678e-001
1.0372008e+000,-8.5315726e-001,1.8869841e-001,-1.0303524e+000,5.2137073e-001,1.8648675e-001,-7.4495188e-001,-6.9635914e-001,-5.4082711e-001,1.1766736e+000,-1.1056875e+000
3.9764132e-001,1.0399251e+000,7.2571412e-001,3.8274297e-001,3.1830738e-001,-7.6304481e-001,1.3726948e+000,-2.4508809e-001,-1.4762022e+000,-1.6348362e+000,1.4754464e+000
7.8885890e-001,4.2730324e-001,-8.2328460e-001,9.9206387e-001,-1.0001721e+000,-1.3319294e-001,1.7345622e+000,7.3410060e-001,1.3435114e+000,1.6229896e+000,8.6288062e-001
9.9975467e-001,1.0177959e+000,5.4625998e-001,3.0579373e-001,1.2027601e-001,1.3003816e+000,1.2875642e-001,-1.2790546e+000,-1.3805166e+000,6.0840929e-001,6.4199840e-001
1.0763458e+000,5.3088287e-002,-1.0702864e+000,4.1467440e-001,-4.6745470e-001,1.0991166e+000,-1.3548804e+000,-1.8121519e+000,1.0952599e+000,-1.1704242e+000,1.3727191e+000
-9.6506525e-001,-1.4181511e+000,6.7157834e-001,8.9376753e-001,-6.4361964e-001,-1.0760338e+000,1.2043053e+000,-5.9519480e-001,-1.0294362e+000,1.0583923e+000,-7.4354794e-001
-1.3474343e+000,-5.0086213e-001,2.7869880e-001,1.1788209e+000,-8.9730776e-001,9.4267032e-001,-1.1211035e+000,1.6416077e+000,-3.7028538e-001,7.7567819e-001,-7.7690906e-001
1.2865861e+000,-6.5509801e-001,-1.0613113e+000,4.0650764e-001,2.9095919e-001,-4.5761805e-001,-8.8786259e-001,-1.4893758e+000,7.9196624e-001,1.3855300e-001,8.3656284e-001
9.2767133e-001,-1.3261379e+000,2.0292082e-002,5.1642337e-001,9.0755127e-001,-3.0114680e-001,-3.3197137e-001,-2.6802620e-001,1.5997902e+000,-9.0154587e-001,-3.3345074e-001
-1.1529992e+000,-2.8061355e-001,-1.0793029e+000,-4.3838428e-003,-4.5300603e-001,9.2808650e-001,1.0374627e+000,-1.2379216e+000,3.7757285e-001,6.9082265e-001,-6.5077028e-001
2.9244839e-001,-1.5054844e+000,-8.5548281e-001,9.6986501e-001,1.3612995e+000,-1.2854876e+000,-1.1402396e+000,-1.7726059e-001,-7.5604961e-001,7.0347915e-001,-2.6290001e-001
1.0675171e+000,-1.5298853e+000,9.4633416e-001,-1.9339462e-001,-1.5702978e+000,1.5257092e-001,-3.3395869e-001,-1.5674936e+000,-5.0574160e-001,-6.8105396e-001,-1.1993161e+000
1.6316384e+000,-1.5437915e+000,1.4329139e+000,4.9480781e-001,1.6398187e-001,-1.2251665e+000,9.3560995e-001,1.1742936e+000,1.1185536e+000,-8.0894867e-001,-1.9428636e-001
-1.5160230e+000,8.4403272e-001,1.2717809e-001,3.8357258e-001,1.2626161e+000,9.0716448e-001,-8.5770501e-001,4.3861574e-001,5.3742806e-001,7.1683846e-001,-6.1566655e-001
-1.5692694e+000,-1.2788867e+000,1.0055556e+000,-1.6798596e+000,2.0627356e-001,7.9376056e-001,1.3434523e+000,-8.6752856e-001,-3.0346317e-001,1.0878225e-001,-1.9231624e+000
1.0644260e-001,-1.6230064e+000,5.0249532e-001,1.0581659e+000,-1.5332161e+000,-1.2341630e+000,-1.0691054e+000,8.6798026e-001,-1.6754639e+000,-1.3084871e+000,-1.0650418e+000
6.0368764e-001,1.4572674e+000,1.2240005e+000,6.0948454e-001,8.0504964e-001,5.2238302e-002,1.7208065e+000,1.4587410e+000,6.1212349e-002,9.4701985e-001,1.7671816e+000
-7.2721564e-001,-4.6178184e-002,5.7844833e-003,9.1502028e-002,-1.6251060e+000,-6.5517429e-001,1.0788758e+000,4.0418758e-001,-2.7063830e-001,-1.2296291e+000,-1.1732678e+000
1.4965183e+000,-7.1790551e-001,8.4098044e-001,-5.1203572e-001,-1.6538933e+000,1.4574576e-006,1.4217684e+000,-1.1371484e+000,7.2434029e-001,-1.9076618e-001,-5.5908831e-001
1.3312758e+000,5.6937715e-001,1.5446843e+000,-3.5395286e-001,-7.8864398e-001,6.7007662e-001,-1.1541547e+000,7.5791081e-001,-3.9387662e-001,-1.8212788e+000,5.2217704e-001
-4.0560180e-001,-5.8937428e-002,1.1506842e-001,-6.9448399e-001,-1.9702586e-001,1.9041899e-002,4.6041922e-002,2.0677722e-001,-9.8948773e-001,6.8844979e-001,-7.8856316e-001
-9.0343671e-001,-4.4401204e-001,1.2838152e+000,2.0226878e-001,-1.0853856e+000,-4.1822014e-001,1.7382010e+000,-1.5337054e+000,9.9556800e-001,1.5226866e+000,-4.7797656e-001
1.1516565e+000,-3.3432945e-001,-1.1159676e+000,1.3156604e+000,-3.9559408e-001,1.0919191e+000,-1.1833697e+000,1.1354268e+000,3.9152032e-001,1.3265872e+000,1.1961439e+000
-1.3451123e+000,-1.0669164e+000,-5.0584394e-001,-4.8765797e-001,1.2039192e+000,1.2475704e+000,-1.2960313e+000,1.1111885e-002,-2.5588889e-001,9.5331104e-001,-1.0416472e+000
-1.6432683e+000,1.4807985e+000,2.9837765e-001,2.3562933e-001,1.0936083e+000,-1.5449707e+000,-7.4625139e-001,2.9616166e-002,-7.8591122e-001,-1.8151831e+000,-7.5064198e-001
1.2335835e+000,1.6019124e+000,-2.9837035e-001,-1.3286324e+000,4.1922248e-002,9.1159929e-001,-8.6162919e-001,-1.0544089e+000,8.5971031e-001,6.2599846e-001,-1.4011462e+000
-1.3175291e+000,1.3362151e+000,1.5894622e+000,1.5014619e+000,9.5170501e-001,-1.4231429e+000,4.9330603e-001,1.7765448e-001,-4.4047764e-001,-1.7959893e+000,9.4625932e-001
-6.7981436e-001,3.1717551e-001,-8.9992179e-001,-3.2713663e-001,-1.3778905e+000,-2.5277156e-001,-1.4075473e+000,-4.8215451e-001,5.1207392e-001,-7.0253875e-001,-5.1268298e-001
-1.2669012e+000,1.0507519e+000,-1.4395626e+000,-6.8424468e-001,7.7751657e-001,-7.8586884e-001,7.1472845e-001,1.6399589e-001,-4.8169721e-001,9.4336241e-003,1.3084873e-002
6.0637066e-001,1.3434612e+000,-5.3038174e-001,-1.7624943e+000,1.5206149e+000,2.7577218e-001,8.3970784e-001,1.1569975e+000,1.2201698e+000,-8.8086601e-001,-9.2699595e-002
6.1225479e-001,3.1780176e-001,3.3080033e-001,8.5617063e-001,-1.3302426e+000,7.0293991e-001,5.8301681e-003,-1.7336958e+000,1.1265048e+000,3.2434922e-002,7.2646453e-001
-9.7530375e-001,-4.2320395e-001,7.0572562e-001,1.2450424e-001,-1.4954982e+000,1.7266714e+000,-1.3301356e+000,8.3210804e-002,-2.6035924e-001,2.9957129e-001,-8.6815407e-001
-9.2361715e-001,-2.4775253e-001,-6.2026448e-001,1.5622257e+000,-1.3047483e+000,-7.9140997e-001,-4.2730334e-001,-9.7189502e-001,6.9239241e-001,-1.8107201e+000,-1.2387901e-001
-1.5954261e+000,-1.3564647e+000,1.2141878e+000,8.7469182e-001,1.3450094e+000,-1.2249693e-001,1.1031626e+000,-1.1912326e+000,3.6389620e-001,-1.0842044e+000,2.2532766e-001
-5.7071678e-001,1.6013148e+000,7.8014566e-001,-1.7843498e+000,-6.4194178e-001,-7.6076709e-001,6.5731990e-001,1.2390102e-001,-1.6178747e+000,6.9341919e-002,-6.8773277e-001
