@RELATION fri_c3_100_5 
 @ATTRIBUTE oz1 REAL 
 @ATTRIBUTE oz2 REAL 
 @ATTRIBUTE oz3 REAL 
 @ATTRIBUTE oz4 REAL 
 @ATTRIBUTE oz5 REAL 
 @ATTRIBUTE oz6 REAL 
@DATA  
-2.7246695e+000,-2.0270909e+000,-1.3401533e+000,8.6857612e-001,-1.1403093e+000,-5.3901661e-002
3.8045572e-001,1.2877271e+000,2.7346544e-001,-9.0422808e-001,1.4873587e-001,-1.5400291e+000
5.4860452e-001,1.3112394e+000,2.7337012e+000,1.4924925e+000,2.2167788e+000,1.0386326e+000
-2.0110793e+000,-1.2002520e+000,2.8661263e-001,5.6628444e-001,-6.6860171e-001,-5.1439404e-004
1.4036790e+000,1.4240242e+000,-4.3492524e-001,-5.8648559e-001,-1.6371184e-002,8.4401270e-001
-1.0724119e+000,-1.2274072e+000,-9.9550488e-001,-5.0413556e-001,-8.2062581e-001,2.1708338e-001
4.3825370e-001,2.3269065e-001,-1.7278911e-001,-7.1325544e-001,-6.3855186e-002,-1.8153221e+000
-2.2270859e-001,-9.7962493e-001,-7.6702548e-001,4.1496624e-002,-6.3348066e-001,8.4117983e-001
4.5781400e-002,1.0838192e-001,5.0513587e-001,5.6535906e-001,7.9470058e-002,-5.8094994e-001
-9.2911300e-001,-7.3406458e-001,-4.9725956e-001,-6.7196806e-001,-5.9932991e-001,4.7246034e-001
-9.6297048e-001,-1.7973353e+000,-6.1856397e-001,-1.1281922e+000,-7.0661546e-001,-2.9259234e-001
3.6383540e-001,1.0376830e+000,-5.4384658e-001,-1.6246345e+000,-4.0508631e-001,-1.9587370e+000
9.4420666e-001,1.2566952e+000,-3.1643715e-001,-1.1108765e+000,-5.1988662e-002,-4.0375616e-001
2.0371311e+000,1.2340581e+000,9.9499608e-001,-9.1865175e-002,1.8958994e+000,1.2043573e+000
1.3437589e+000,1.3926346e+000,1.6345254e+000,1.0648509e+000,1.7929186e+000,1.8048797e+000
-8.6304726e-001,-8.6536864e-001,-5.0938506e-001,-3.5407590e-001,-7.4325488e-001,5.7524279e-001
-6.5486301e-001,-3.0760981e-001,-1.4183954e-001,7.3277483e-001,-1.9189568e-001,8.8088350e-001
-4.5903672e-001,2.2567959e-001,1.3250016e+000,1.7410662e+000,3.3540267e-001,5.9300432e-001
-1.0082375e+000,-1.0596088e+000,-1.1093981e+000,-5.6540669e-001,-7.6853845e-001,2.6575860e-001
-3.6880216e-001,-9.2767988e-001,-5.5188167e-001,7.0545071e-001,-7.6561012e-001,9.6666520e-001
3.8937936e-001,-1.1237319e-001,5.7866466e-001,6.2040195e-002,5.4206899e-001,-3.8836588e-001
-5.4234196e-001,-6.1460769e-003,-5.5307341e-001,-2.7731743e-001,-8.1378877e-001,2.3544498e-001
-5.9690110e-001,-9.2769559e-001,-2.8826303e-001,6.6111901e-001,-4.7998372e-001,1.0097676e+000
1.4084509e+000,1.3937074e+000,2.5564889e+000,1.3649840e+000,3.0133492e+000,2.6814119e+000
-7.3429159e-001,-4.4026057e-001,-2.2860809e-001,-9.8688132e-002,-2.4103257e-001,7.7964300e-001
-5.9225565e-001,-6.4457320e-001,-2.2801319e-001,1.3963353e+000,-3.8370351e-001,1.1594158e+000
9.4859418e-001,1.4484289e-001,7.4335944e-001,1.0589858e+000,1.0033061e+000,-8.1422545e-001
-1.0347219e+000,-8.4877192e-001,8.0909149e-002,1.4110663e+000,-2.0135515e-001,8.8816270e-001
