@RELATION fri_c2_250_25 
 @ATTRIBUTE oz1 REAL 
 @ATTRIBUTE oz2 REAL 
 @ATTRIBUTE oz3 REAL 
 @ATTRIBUTE oz4 REAL 
 @ATTRIBUTE oz5 REAL 
 @ATTRIBUTE oz6 REAL 
 @ATTRIBUTE oz7 REAL 
 @ATTRIBUTE oz8 REAL 
 @ATTRIBUTE oz9 REAL 
 @ATTRIBUTE oz10 REAL 
 @ATTRIBUTE oz11 REAL 
 @ATTRIBUTE oz12 REAL 
 @ATTRIBUTE oz13 REAL 
 @ATTRIBUTE oz14 REAL 
 @ATTRIBUTE oz15 REAL 
 @ATTRIBUTE oz16 REAL 
 @ATTRIBUTE oz17 REAL 
 @ATTRIBUTE oz18 REAL 
 @ATTRIBUTE oz19 REAL 
 @ATTRIBUTE oz20 REAL 
 @ATTRIBUTE oz21 REAL 
 @ATTRIBUTE oz22 REAL 
 @ATTRIBUTE oz23 REAL 
 @ATTRIBUTE oz24 REAL 
 @ATTRIBUTE oz25 REAL 
 @ATTRIBUTE oz26 REAL 
@DATA  
-9.6076900e-001,-1.6488748e+000,-5.6074842e-001,-5.9319077e-001,1.2154462e+000,-8.6817571e-001,-3.0881127e-001,-9.0656605e-001,1.5915533e+000,1.3335872e+000,1.0526131e+000,1.0069953e+000,1.0013500e-001,-1.0361603e+000,-1.1314991e+000,-7.7735426e-001,-1.5687123e+000,1.3926308e+000,8.9921978e-001,8.2530412e-001,-1.4272458e+000,1.1191412e-001,-1.4967610e-001,-1.1629088e+000,5.2076348e-001,4.8126713e-002
-2.6476405e-001,-6.9918898e-001,-1.7417579e-001,8.3056882e-001,-8.8442759e-001,-1.7434347e+000,-2.8537722e-001,4.4169211e-001,-1.3010340e+000,-5.6778750e-001,1.7391241e+000,8.6664257e-002,3.8321189e-001,7.2864064e-001,1.0527508e+000,-7.8013881e-001,5.2763002e-001,-1.8324682e+000,-3.5481020e-001,-3.0110744e-001,-6.9871798e-001,-7.7701711e-001,1.6704059e+000,-8.6172043e-001,8.7342302e-001,9.1024795e-001
-3.5491277e-003,5.4998034e-001,1.6814136e+000,1.4721839e+000,-4.8667310e-001,-1.4736069e+000,-7.1956568e-001,-1.2868079e-001,-1.2873245e+000,-1.3342742e+000,-1.1439048e+000,1.2340164e+000,-6.1462983e-001,3.5035542e-001,4.4779816e-001,1.1716337e+000,-4.7372461e-003,-5.4139945e-001,2.2937652e-001,-2.3293869e-001,-9.6487151e-001,-1.1130124e+000,-5.7534117e-001,1.0690378e+000,-3.2041267e-002,-2.0131123e-002
-4.3769742e-001,-1.1533298e-001,4.8730952e-001,3.2890227e-001,-6.4326830e-001,-6.6468290e-001,1.6279987e+000,-3.4926664e-001,-1.4851684e+000,1.3418087e+000,5.5169627e-001,7.7666052e-002,-5.4351858e-001,-2.7332807e-001,-1.1792185e+000,1.5132652e-001,-1.0551161e+000,-8.6428249e-001,1.2978990e-001,1.2198003e+000,-8.1144870e-001,1.5257132e+000,-6.5992272e-001,-6.4323761e-001,2.5112238e-001,5.3531695e-001
2.5796595e-001,4.1403857e-001,-2.3536626e-001,-7.8764647e-001,1.5394782e+000,-9.1948515e-001,-7.1886453e-001,-1.2766095e+000,8.3097625e-002,-9.3898835e-001,9.0784788e-001,-3.3778027e-001,1.1137606e+000,-3.0566936e-002,-1.1237612e+000,-5.0822276e-001,-4.4931418e-001,-6.6755863e-001,-5.1064383e-001,4.5825941e-001,-1.5650700e-001,5.3585610e-002,-1.0719563e+000,8.0697450e-001,-2.8963529e-001,-4.5720336e-001
-1.5098999e+000,-9.4215761e-001,2.2457567e-002,1.5229405e+000,1.3660123e+000,1.2113839e+000,1.2454494e+000,8.3782818e-001,1.7493196e-001,-1.6268686e+000,4.3597379e-001,2.8423738e-001,-2.5332545e-001,-1.4066097e+000,8.0479597e-001,-1.3458816e+000,-3.9872809e-001,2.2691095e-001,2.0442498e-001,1.7046973e+000,-1.4020141e+000,6.0163887e-001,-1.1205348e+000,-7.4886814e-001,1.2112940e+000,7.2633282e-001
6.3113110e-001,1.3807132e+000,9.7052306e-001,-2.1695016e-001,-1.3494509e+000,-8.4898662e-001,2.0210703e-001,6.7979499e-001,-1.0161686e+000,-2.2179397e-001,3.7623030e-001,-1.5522079e+000,9.2795808e-001,1.0407763e+000,1.0093633e+000,-1.0866409e+000,2.2443556e-001,-3.5917557e-001,-2.7545851e-001,-1.2304822e+000,1.5819911e+000,1.2635409e+000,4.5270019e-001,8.3107004e-001,-1.3514141e+000,-2.2647918e+000
-1.4860182e+000,-1.7282269e+000,-3.9792491e-001,-3.2108127e-001,-5.3415561e-001,-1.0898170e+000,2.6053144e-001,1.2680596e+000,3.3977028e-001,1.3784592e-001,-4.5828841e-001,-5.4481102e-001,-1.4354884e+000,-8.6787976e-001,4.5621335e-003,-1.0624175e+000,1.3905292e+000,-5.6190357e-001,-9.2812315e-001,1.0394452e+000,-7.6207103e-001,-1.4498474e+000,1.0217247e+000,-3.5129970e-001,-5.0502869e-001,-5.0567681e-001
-1.3705234e+000,-1.2842928e+000,-5.5901585e-001,-8.6184676e-001,-1.4872926e+000,-9.8975802e-001,8.1527489e-001,5.6026499e-002,-6.5228106e-001,2.2361143e-001,-6.4274761e-001,2.9920927e-003,-1.1274049e+000,-1.2416946e+000,5.9419761e-001,1.5153554e+000,1.5938992e+000,1.3225646e+000,1.2301579e+000,1.5156791e+000,8.1910492e-001,8.9009969e-001,-2.2295134e-001,1.2250039e+000,-8.4527697e-001,-5.2345940e-001
3.4339170e-001,1.2331555e+000,2.7212393e+000,1.7568910e+000,-3.7279414e-001,-5.5558425e-002,3.6152946e-001,-2.1722154e-001,-4.7343200e-001,6.4447837e-001,-1.2199567e+000,1.4023782e+000,-1.6981853e+000,-1.2998698e+000,1.1011272e+000,-1.7479690e+000,1.0245449e-001,-1.3928955e+000,1.2334099e+000,-3.5917575e-002,-7.5678887e-001,-1.0378949e+000,-2.5535653e-001,-2.8434676e-002,1.6251472e+000,-1.0100953e+000
